participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.ses_treat,participant.fb_treat,participant.total_points,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.experiment_started,session.config.use_browser_bots,session.config.name,session.experiment_started,app_initial_survey.1.player.id_in_group,app_initial_survey.1.player.role,app_initial_survey.1.player.payoff,app_initial_survey.1.player.income,app_initial_survey.1.player.curr_question,app_initial_survey.1.player.q1,app_initial_survey.1.player.q2,app_initial_survey.1.group.id_in_subsession,app_initial_survey.1.subsession.round_number,app_smartcity_pgg.1.player.id_in_group,app_smartcity_pgg.1.player.role,app_smartcity_pgg.1.player.payoff,app_smartcity_pgg.1.player.endowment,app_smartcity_pgg.1.player.s1_contribution,app_smartcity_pgg.1.player.s2_contribution,app_smartcity_pgg.1.player.s3_contribution,app_smartcity_pgg.1.group.id_in_subsession,app_smartcity_pgg.1.group.total_spend,app_smartcity_pgg.1.group.individual_share,app_smartcity_pgg.1.subsession.round_number,app_smartcity_pgg.2.player.id_in_group,app_smartcity_pgg.2.player.role,app_smartcity_pgg.2.player.payoff,app_smartcity_pgg.2.player.endowment,app_smartcity_pgg.2.player.s1_contribution,app_smartcity_pgg.2.player.s2_contribution,app_smartcity_pgg.2.player.s3_contribution,app_smartcity_pgg.2.group.id_in_subsession,app_smartcity_pgg.2.group.total_spend,app_smartcity_pgg.2.group.individual_share,app_smartcity_pgg.2.subsession.round_number,app_smartcity_pgg.3.player.id_in_group,app_smartcity_pgg.3.player.role,app_smartcity_pgg.3.player.payoff,app_smartcity_pgg.3.player.endowment,app_smartcity_pgg.3.player.s1_contribution,app_smartcity_pgg.3.player.s2_contribution,app_smartcity_pgg.3.player.s3_contribution,app_smartcity_pgg.3.group.id_in_subsession,app_smartcity_pgg.3.group.total_spend,app_smartcity_pgg.3.group.individual_share,app_smartcity_pgg.3.subsession.round_number,app_post_survey.1.player.id_in_group,app_post_survey.1.player.role,app_post_survey.1.player.payoff,app_post_survey.1.player.country,app_post_survey.1.player.education_level,app_post_survey.1.player.mothers_education_level,app_post_survey.1.player.fathers_education_level,app_post_survey.1.player.occupation,app_post_survey.1.player.household_composition,app_post_survey.1.player.number_of_books,app_post_survey.1.player.income,app_post_survey.1.group.id_in_subsession,app_post_survey.1.subsession.round_number
1,pi6rbc5e,P1-5g3fxpb8-2023-12-20_15:31,0,18,19,app_post_survey,PostSurvey,2023-12-20 15:25:55.587258,1,,,27.0,high,competitive,27.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,1,,0.0,0,1,,,1,1,3,,9.0,6.0,0.0,,,7,8.0,3.0,1,3,,9.0,6.0,,0.0,,17,7.0,3.0,2,3,,9.0,6.0,,,0.0,19,7.0,3.0,3,1,,0.0,,,,,,,,,1,1
2,ldjij5ax,P2-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.866348,1,,,18.0,low,cooperative,18.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,2,,0.0,4,3,2,3,1,1,1,,6.0,4.0,2.0,,,5,10.0,4.0,1,1,,6.0,4.0,,2.0,,10,9.0,4.0,2,2,,6.0,4.0,,,1.0,13,7.0,3.0,3,2,,0.0,Austria,Bachelor's degree or equivalent,Lower secondary education,Primary education,"Skilled agricultural, forestry and fishery workers",Two persons,Enough to fill half a shelf (11--25 books),20.000 - 29.999€,1,1
3,d8dmpx55,P3-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.702905,1,,,14.0,low,cooperative,14.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,3,,0.0,6,3,2,3,1,1,1,,5.0,4.0,2.0,,,3,7.0,3.0,1,1,,5.0,4.0,,3.0,,9,9.0,4.0,2,1,,4.0,4.0,,,4.0,14,9.0,4.0,3,3,,0.0,Austria,Bachelor's degree or equivalent,Upper secondary education,Upper secondary education,Technicians and associate professionals,Two persons,None or a few (0--10 books),30.000 - 34.999€,1,1
4,5kqh9f15,P4-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.885807,1,,,25.0,high,competitive,25.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,4,,0.0,1,1,,,1,1,3,,10.0,6.0,0.0,,,2,10.0,4.0,1,3,,8.0,6.0,,4.0,,12,15.0,6.0,2,3,,7.0,6.0,,,4.0,15,13.0,5.0,3,4,,0.0,Germany,No schooling,No schooling,No schooling,Service workers and shop and market sales workers,Prefer not to answer,Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
5,w2nf4042,P5-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.743513,1,,,20.0,low,cooperative,20.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,5,,0.0,0,1,,,1,1,2,,6.0,4.0,2.0,,,5,10.0,4.0,1,2,,7.0,4.0,,1.0,,10,9.0,4.0,2,2,,7.0,4.0,,,1.0,14,9.0,4.0,3,5,,0.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Post-secondary non-tertiary,Craft and related trade workers,Four persons,Enough to fill three or more bookshelves (more than 200 books),prefer not to answer,1,1
6,8q9fvezy,P6-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.751671,1,,,19.0,low,control,19.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,6,,0.0,0,1,,,1,1,1,,6.0,4.0,2.0,,,4,11.0,4.0,1,1,,7.0,4.0,,1.0,,8,11.0,4.0,2,1,,6.0,4.0,,,1.0,11,8.0,3.0,3,6,,0.0,Austria,Bachelor's degree or equivalent,Bachelor's degree or equivalent,Lower secondary education,Technicians and associate professionals,One person (just me),Enough to fill half a shelf (11--25 books),20.000 - 29.999€,1,1
7,06251aos,P7-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.771579,1,,,18.0,high,cooperative,18.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,7,,0.0,8,3,2,3,1,1,3,,6.0,6.0,4.0,,,5,10.0,4.0,1,3,,6.0,6.0,,4.0,,10,9.0,4.0,2,3,,6.0,6.0,,,3.0,13,7.0,3.0,3,7,,0.0,Austria,Master's degree or equivalent,Post-secondary non-tertiary,Bachelor's degree or equivalent,Professionals,Four persons,Enough to fill half a shelf (11--25 books),prefer not to answer,1,1
8,gim3o13f,P8-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.779092,1,,,24.0,high,competitive,24.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,8,,0.0,7,3,2,3,1,1,4,,7.0,6.0,3.0,,,2,10.0,4.0,1,4,,8.0,6.0,,4.0,,12,15.0,6.0,2,4,,9.0,6.0,,,2.0,15,13.0,5.0,3,8,,0.0,Austria,Bachelor's degree or equivalent,Doctoral degree or equivalent,Master's degree or equivalent,None of the above,Two persons,Enough to fill half a shelf (11--25 books),10.000€ - 19.999€,1,1
9,24dqxmc5,P9-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.809392,1,,,16.0,low,competitive,16.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,9,,0.0,6,3,2,3,1,1,1,,5.0,4.0,3.0,,,2,10.0,4.0,1,1,,6.0,4.0,,4.0,,12,15.0,6.0,2,1,,5.0,4.0,,,4.0,15,13.0,5.0,3,9,,0.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Post-secondary non-tertiary,None of the above,Two persons,Enough to fill two bookshelves (101–200 books),10.000€ - 19.999€,1,1
10,kgm990bn,P10-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.848051,1,,,17.0,high,competitive,17.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,10,,0.0,6,3,2,3,1,1,4,,5.0,6.0,4.0,,,7,8.0,3.0,1,4,,6.0,6.0,,3.0,,17,7.0,3.0,2,4,,6.0,6.0,,,3.0,19,7.0,3.0,3,10,,0.0,Austria,Bachelor's degree or equivalent,Post-secondary non-tertiary,Bachelor's degree or equivalent,Professionals,Two persons,Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
11,7v7yhsc8,P11-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.802462,1,,,17.0,low,control,17.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,11,,0.0,0,1,,,1,1,2,,6.0,4.0,2.0,,,4,11.0,4.0,1,2,,6.0,4.0,,2.0,,8,11.0,4.0,2,2,,5.0,4.0,,,2.0,11,8.0,3.0,3,11,,0.0,Austria,Bachelor's degree or equivalent,Lower secondary education,Primary education,Technicians and associate professionals,Two persons,Enough to fill two bookshelves (101–200 books),20.000 - 29.999€,1,1
12,5wo9mynw,P12-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.926031,1,,,20.0,high,cooperative,20.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,12,,0.0,9,3,2,3,1,1,3,,6.0,6.0,3.0,,,3,7.0,3.0,1,3,,6.0,6.0,,4.0,,9,9.0,4.0,2,3,,8.0,6.0,,,2.0,14,9.0,4.0,3,12,,0.0,Austria,Bachelor's degree or equivalent,Lower secondary education,Lower secondary education,Professionals,One person and two children,Enough to fill two bookshelves (101–200 books),10.000€ - 19.999€,1,1
13,05eg442c,P13-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:55.957007,1,,,26.0,high,cooperative,26.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,13,,0.0,5,3,2,3,1,1,4,,8.0,6.0,1.0,,,3,7.0,3.0,1,4,,9.0,6.0,,1.0,,9,9.0,4.0,2,4,,9.0,6.0,,,0.0,13,7.0,3.0,3,13,,0.0,Austria,Master's degree or equivalent,Post-secondary non-tertiary,Bachelor's degree or equivalent,None of the above,Prefer not to answer,Enough to fill two bookshelves (101–200 books),50.000 - 64.999€,1,1
14,o4dkyr8k,P14-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.026726,1,,,17.0,low,cooperative,17.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,14,,0.0,0,1,,,1,1,2,,6.0,4.0,1.0,,,3,7.0,3.0,1,2,,7.0,4.0,,1.0,,9,9.0,4.0,2,1,,4.0,4.0,,,3.0,13,7.0,3.0,3,14,,0.0,Austria,Bachelor's degree or equivalent,Doctoral degree or equivalent,Doctoral degree or equivalent,Technicians and associate professionals,Four persons,Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
15,60l2gfuw,P15-5g3fxpb8-2023-12-20_15:31,0,18,19,app_post_survey,PostSurvey,2023-12-20 15:25:56.107583,1,,,25.0,high,control,25.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,15,,0.0,0,1,,,1,1,3,,9.0,6.0,0.0,,,6,7.0,3.0,1,3,,8.0,6.0,,0.0,,16,4.0,2.0,2,3,,8.0,6.0,,,0.0,18,5.0,2.0,3,15,,0.0,,,,,,,,,1,1
16,h1ohd9lx,P16-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.123619,1,,,18.0,high,control,18.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,16,,0.0,6,1,,,1,1,3,,6.0,6.0,4.0,,,4,11.0,4.0,1,3,,6.0,6.0,,4.0,,8,11.0,4.0,2,3,,6.0,6.0,,,3.0,11,8.0,3.0,3,16,,0.0,Austria,Bachelor's degree or equivalent,Master's degree or equivalent,Bachelor's degree or equivalent,Professionals,Two persons,Enough to fill half a shelf (11--25 books),10.000€ - 19.999€,1,1
17,dnqg1tr9,P17-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.115063,1,,,19.0,high,control,19.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,17,,0.0,0,1,,,1,1,4,,5.0,6.0,4.0,,,6,7.0,3.0,1,4,,7.0,6.0,,1.0,,16,4.0,2.0,2,4,,7.0,6.0,,,1.0,18,5.0,2.0,3,17,,0.0,Austria,Bachelor's degree or equivalent,Bachelor's degree or equivalent,Bachelor's degree or equivalent,Professionals,Other,Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
18,s4i86lgd,P18-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.214343,1,,,20.0,high,control,20.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,18,,0.0,6,1,,,1,1,4,,7.0,6.0,3.0,,,4,11.0,4.0,1,4,,6.0,6.0,,4.0,,8,11.0,4.0,2,4,,7.0,6.0,,,2.0,11,8.0,3.0,3,18,,0.0,Austria,Bachelor's degree or equivalent,Master's degree or equivalent,Bachelor's degree or equivalent,Professionals,Two persons and one child,Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
19,1p0vt5ur,P19-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.467294,1,,,17.0,low,competitive,17.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,19,,0.0,5,1,,,1,1,2,,4.0,4.0,4.0,,,2,10.0,4.0,1,2,,7.0,4.0,,3.0,,12,15.0,6.0,2,2,,6.0,4.0,,,3.0,15,13.0,5.0,3,19,,0.0,Germany,Early childhood education,Post-secondary non-tertiary,Lower secondary education,"Legislators, senior officials and managers",One person and one child,Enough to fill two bookshelves (101–200 books),35.000 - 49.999€,1,1
20,qiy2ico6,P20-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.357610,1,,,9.0,low,control,9.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,20,,0.0,0,1,,,1,1,1,,4.0,4.0,3.0,,,6,7.0,3.0,1,1,,3.0,4.0,,3.0,,16,4.0,2.0,2,1,,2.0,4.0,,,4.0,18,5.0,2.0,3,20,,0.0,Austria,Master's degree or equivalent,Doctoral degree or equivalent,Bachelor's degree or equivalent,None of the above,Three persons,Enough to fill three or more bookshelves (more than 200 books),35.000 - 49.999€,1,1
21,elmqdrq7,P21-5g3fxpb8-2023-12-20_15:31,0,18,19,app_post_survey,PostSurvey,2023-12-20 15:25:56.345030,1,,,21.0,low,competitive,21.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,21,,0.0,0,1,,,1,1,1,,7.0,4.0,0.0,,,7,8.0,3.0,1,1,,7.0,4.0,,0.0,,17,7.0,3.0,2,1,,7.0,4.0,,,0.0,19,7.0,3.0,3,21,,0.0,,,,,,,,,1,1
22,uhqm2rgw,P22-5g3fxpb8-2023-12-20_15:31,0,18,19,app_post_survey,PostSurvey,2023-12-20 15:25:56.450680,1,,,19.0,low,control,19.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,22,,0.0,0,1,,,1,1,2,,7.0,4.0,0.0,,,6,7.0,3.0,1,2,,6.0,4.0,,0.0,,16,4.0,2.0,2,2,,6.0,4.0,,,0.0,18,5.0,2.0,3,22,,0.0,,,,,,,,,1,1
23,59wr82qj,P23-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.459291,1,,,9.0,low,competitive,9.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,23,,0.0,0,1,,,1,1,2,,3.0,4.0,4.0,,,7,8.0,3.0,1,2,,3.0,4.0,,4.0,,17,7.0,3.0,2,2,,3.0,4.0,,,4.0,19,7.0,3.0,3,23,,0.0,Austria,Master's degree or equivalent,Doctoral degree or equivalent,Doctoral degree or equivalent,Professionals,One person (just me),Enough to fill three or more bookshelves (more than 200 books),> 65.000€,1,1
24,n4ewybs7,P24-5g3fxpb8-2023-12-20_15:31,0,19,19,app_post_survey,CompletionConfirmation,2023-12-20 15:25:56.476737,1,,,24.0,high,cooperative,24.0,5g3fxpb8,,,,,0,0.0,1.0,0,0,real_session,,24,,0.0,8,3,2,3,1,1,4,,8.0,6.0,2.0,,,5,10.0,4.0,1,4,,8.0,6.0,,2.0,,10,9.0,4.0,2,4,,8.0,6.0,,,2.0,14,9.0,4.0,3,24,,0.0,Austria,Master's degree or equivalent,Master's degree or equivalent,Doctoral degree or equivalent,"Legislators, senior officials and managers",One person (just me),Enough to fill two bookshelves (101–200 books),prefer not to answer,1,1
